English_SubText,Tamil_SubText
Athi - He is leaving India to Boston,அதி - அவர் இந்தியாவிலிருந்து பாஸ்டனுக்கு செல்கிறார்
He enjoys the flight,அவர் விமானத்தை ரசிக்கிறார்
Athi noticed a girl in flight  who has been travel-ling with him as co passenger,விமானத்தில் ஒரு பெண் தன்னுடன் சக பயணியாக பயணிப்பதை அதி கவனித்தார்
Athi lands in Boston and leaves to home ,பின்னர் அதி பாஸ்டனில் தரையிறங்கி அபார்ட்மெண்டிற்கு செல்கிறார்
Athi's Roommates are waiting ,ஆதியின் அறை தோழர்கள் காத்திருக்கிறார்கள்
There athi meets his roommates Nish and Vik ,அங்கு ஆதி தனது அறை தோழர்களான நிஷ் மற்றும் விக் ஆகியோரை சந்திக்கிறார்
Athi nish vik wander around college ,அதி நிஷ் விக் கல்லூரியில் சுற்றித் திரிந்தான்
"On their first day of entering Boston, they decide to explore boston around ","அவர்கள் பாஸ்டனுக்குள் நுழைந்த முதல் நாளில், அவர்கள் பாஸ்டனை சுற்றி ஆராய முடிவு செய்கிறார்கள்"
Reflection Pool,  
Charles River,  
  , 
They went out for Dinner,இரவு உணவிற்கு வெளியே சென்றனர்
"Also, athi,nish and vik decides to call up Sub ( a friend who came to USA a year before).","மேலும், அதி,நிஷ் மற்றும் விக் ஆகியோர் சப் (ஒரு வருடம் முன்பு அமெரிக்கா வந்திருந்த நண்பர்) என்பவரை அழைக்க முடிவு செய்தனர்."
"Since sub is not available in the day , he says to come to their house directly in evening","பகலில் சப் கிடைக்காததால் , மாலையில் நேரிடையாக தங்கள் வீட்டிற்கு வரச் சொல்கிறார்"
"They were walking in park , someone is following","அவர்கள் பூங்கா வழியாக நடந்து கொண்டிருந்தார்கள், யாரோ பின்தொடர்கிறார்கள்"
They then went for essential shopping ,பின்னர் அத்தியாவசிய பொருட்கள் வாங்க சென்றனர்
They were walking  home but Athi thinks someone is following,அவர்கள் வீட்டிற்கு திரும்பி நடந்து கொண்டிருந்தார்கள் ஆனால் யாரோ பின்தொடர்கிறார்கள் என்று ஆதி நினைக்கிறார்
He finds nobody there but still feels mysterious,"அவர் அங்கு யாரையும் காணவில்லை, ஆனால் இன்னும் மர்மமாக உணர்கிறார்"
Then they reach their home in the late evening,பின்னர் மாலையில் தங்கள் வீட்டை அடைகின்றனர்
They enter the apartment to notice their front door was open,"அவர்கள் மூவரும் அபார்ட்மெண்டிற்குள் நுழைகிறார்கள், அவர்களின் முன் கதவு திறந்திருப்பதைக் கவனிக்கவும், அது மூடப்பட்டதை நினைவில் கொள்ளவும்"
They then take it casually and enters,அவர்கள் அதை சாதாரணமாக எடுத்துக்கொண்டு தங்கள் வீட்டிற்குள் நுழைகிறார்கள்
Nish heads to the shower ,நிஷ் குளியலறையைத் திறந்து குளியலறையைத் திறக்கிறார்
He sees a dead body in his bath tub,"அவர் கதவைத் திறந்து, அவரது குளியல் தொட்டியில் ஒரு சடலத்தைப் பார்க்கிறார்"
